timestamp,1.what_is_your_age_group?,2._what_is_your_occupation_?,3._what_is_your_gender?,4._which_upi_based_digital_banking_app_do_you_use_the_most?,5._how_often_do_you_use_digital_banking_apps?,6.how_satisfied_are_you_with_your_overall_experience_using_upi_based_digital_banking_apps?,7._have_you_ever_stopped_using_a_digital_banking_app/service?,8._what_is_the_main_reason_for_discontinuing_the_use_of_a_upi_based_digital_banking_app?,9._what_is_the_most_important_factor_for_you_while_using_a_digital_banking_platform?,10._which_factor_makes_you_stay_loyal_to_a_digital_banking_app?,11._do_attractive_offers_motivate_you_to_continue_using_the_same_app?,"12._according_to_you,_what_improvements_are_needed_in_digital_banking_services?",satisfaction_level,frequent_user,churn_intention,digital_adoption_level,risk_segment,customer_value_score
2026/06/03 5:06:41 PM GMT+5:30,45+,Working Professional,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Easy Interface,Cashback,Yes,Cash backs,Unknown,No,No,Low,Low Risk,1
2026/06/03 10:11:48 PM GMT+5:30,26-35,Working Professional,Female,PhonePe,Multiples times a day,5,No,Not Applicable,Fast Transaction,Security,No,Unknown,Unknown,No,No,Low,Low Risk,1
2026/06/04 2:21:59 AM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,5,No,Technical/app issues,Fast Transaction,Easy usage,No,Delivery receipt,Unknown,No,No,Low,Low Risk,1
2026/06/04 9:55:49 AM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,4,No,Not Applicable,Fast Transaction,Easy usage,Yes,Companies should offer real cash back on cumulative online transactiond,Unknown,No,No,Low,Low Risk,1
2026/06/05 1:56:35 PM GMT+5:30,26-35,Working Professional,Male,Goggle Pay,Weekly,4,Yes,Better offers on another apps,Security,Security,Yes,Faster response on customer queries related to transactions and secure transaction modes.,Unknown,No,No,Low,Low Risk,1
2026/06/06 9:58:34 AM GMT+5:30,26-35,Working Professional,Female,Paytm,Weekly,4,No,Technical/app issues,Fast Transaction,Discounts/Offers,Yes,transpirancy,Unknown,No,No,Low,Low Risk,1
2026/06/07 11:32:25 PM GMT+5:30,26-35,Working Professional,Male,Goggle Pay,Occasionally,4,No,Better offers on another apps,Security,Cashback,Yes,Secure investment and customer service.,Unknown,No,No,Low,Low Risk,1
2026/07/04 2:52:12 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Daily,5,Yes,Not Applicable,Fast Transaction,Easy usage,Yes,Goggle pay Reedem offers to be improved,Unknown,No,No,Low,Low Risk,1
2026/07/04 10:52:10 PM GMT+5:30,18-25,Student,Male,PhonePe,Multiples times a day,4,No,Technical/app issues,Fast Transaction,Security,Yes,Nothing,Unknown,No,No,Low,Low Risk,1
2026/07/04 10:53:11 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,4,No,Technical/app issues,Cashback/Rewards,Cashback,Yes,Rewards,Unknown,No,No,Low,Low Risk,1
2026/07/04 10:54:08 PM GMT+5:30,26-35,Student,Male,PhonePe,Multiples times a day,2,Yes,Security concern,Cashback/Rewards,Cashback,Yes,Rewards,Unknown,No,No,Low,Low Risk,1
2026/07/04 10:54:47 PM GMT+5:30,18-25,Student,Female,PhonePe,Multiples times a day,5,Yes,Technical/app issues,Customer support,Easy usage,Yes,Quicker issue resolution and seamless digital services.,Unknown,No,No,Low,Low Risk,1
2026/07/04 10:54:52 PM GMT+5:30,18-25,Student,Male,PhonePe,Multiples times a day,5,No,Not Applicable,Security,Easy usage,Yes,"Simpler, faster, and more secure banking for everyone.",Unknown,No,No,Low,Low Risk,1
2026/07/04 11:00:16 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Daily,3,No,Slow transaction/service,Security,Cashback,Yes,fast and user friendly,Unknown,No,No,Low,Low Risk,1
2026/07/04 11:05:15 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,5,No,Technical/app issues,Fast Transaction,Easy usage,Yes,More easy way to do payment,Unknown,No,No,Low,Low Risk,1
2026/07/04 11:08:31 PM GMT+5:30,26-35,Student,Male,BHIM,Weekly,4,No,Technical/app issues,Security,Security,Maybe,More security,Unknown,No,No,Low,Low Risk,1
