Timestamp,1.What is your age group?,2. What is your occupation ?,3. What is your gender?,4. Which UPI-based digital banking app do you use the most? ,5. How often do you use digital banking apps?,6.How satisfied are you with your overall experience using UPI-based digital banking apps?,7. Have you ever stopped using a digital banking app/service?,8. What is the main reason for discontinuing the use of a UPI-based digital banking app?,9. What is the most important factor for you while using a digital banking platform?,10. Which factor makes you stay loyal to a digital banking app?,11. Do attractive offers Motivate you to continue using the same app?,"12. According to you, what improvements are needed in digital banking services?"
2026/05/28 9:43:18 PM GMT+5:30,18-25,Working Professional,Female,PhonePe,Daily,1,No,Security concern,Fast Transaction,Easy usage,No,there should be no scam if we use online digital payment options
2026/05/28 10:03:23 PM GMT+5:30,18-25,Student,Male,Goggle Pay,Weekly,4,No,Better offers on another apps,Security,Security,Yes,"More cashback offers rather than offers based on flight booking, shopping and Increasing UPI based transaction amount limit per day."
2026/05/28 11:07:27 PM GMT+5:30,36-45,Working Professional,Female,BHIM,Multiples times a day,3,Yes,Security concern,Cashback/Rewards,Easy usage,Yes,Faster resolution to transaction confirmation during down tine
2026/05/29 8:50:20 AM GMT+5:30,26-35,Student,Female,Goggle Pay,Weekly,4,No,Not Applicable,Security,Security,Yes,A good reward in return
2026/05/29 9:07:32 AM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,5,No,Not Applicable,Easy Interface,Easy usage,Maybe,None so far
2026/05/29 9:45:06 AM GMT+5:30,36-45,Working Professional,Male,Paytm,Daily,5,No,Not Applicable,Fast Transaction,Easy usage,No,There should be only cash back option in reward section
2026/05/29 10:34:40 AM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,4,No,Technical/app issues,Fast Transaction,Fast customer support,Maybe,AI based fraud detection
2026/06/03 12:55:10 PM GMT+5:30,26-35,Working Professional,Male,BHIM,Daily,5,No,Not Applicable,Fast Transaction,Easy usage,Yes,Limit enchantment with added security
2026/06/03 1:10:04 PM GMT+5:30,18-25,Student,Female,PhonePe,Multiples times a day,5,Yes,Better offers on another apps,Customer support,Easy usage,Yes,"We should do this, it may be best for us."
2026/06/03 1:56:16 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,1,No,Poor customer support,Fast Transaction,Easy usage,No,Customer service needs improvement
2026/06/03 5:06:41 PM GMT+5:30,45+,Working Professional,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Easy Interface,Cashback,Yes,Cash backs
2026/06/03 10:11:48 PM GMT+5:30,26-35,Working Professional,Female,PhonePe,Multiples times a day,5,No,Not Applicable,Fast Transaction,Security,No,
2026/06/04 2:21:59 AM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,5,No,Technical/app issues,Fast Transaction,Easy usage,No,Delivery receipt
2026/06/04 9:55:49 AM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,4,No,Not Applicable,Fast Transaction,Easy usage,Yes,Companies should offer real cash back on cumulative online transactiond
2026/06/05 1:56:35 PM GMT+5:30,26-35,Working Professional,Male,Goggle Pay,Weekly,4,Yes,Better offers on another apps,Security,Security,Yes,Faster response on customer queries related to transactions and secure transaction modes.
2026/06/06 9:58:34 AM GMT+5:30,26-35,Working Professional,Female,Paytm,Weekly,4,No,Technical/app issues,Fast Transaction,Discounts/Offers,Yes,transpirancy
2026/06/07 11:32:25 PM GMT+5:30,26-35,Working Professional,Male,Goggle Pay,Occasionally,4,No,Better offers on another apps,Security,Cashback,Yes,Secure investment and customer service.
2026/07/04 2:52:12 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Daily,5,Yes,Not Applicable,Fast Transaction,Easy usage,Yes,Goggle pay Reedem offers to be improved
2026/07/04 10:52:10 PM GMT+5:30,18-25,Student,Male,PhonePe,Multiples times a day,4,No,Technical/app issues,Fast Transaction,Security,Yes,Nothing
2026/07/04 10:53:11 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,4,No,Technical/app issues,Cashback/Rewards,Cashback,Yes,Rewards
2026/07/04 10:54:08 PM GMT+5:30,26-35,Student,Male,PhonePe,Multiples times a day,2,Yes,Security concern,Cashback/Rewards,Cashback,Yes,Rewards
2026/07/04 10:54:47 PM GMT+5:30,18-25,Student,Female,PhonePe,Multiples times a day,5,Yes,Technical/app issues,Customer support,Easy usage,Yes,Quicker issue resolution and seamless digital services.
2026/07/04 10:54:52 PM GMT+5:30,18-25,Student,Male,PhonePe,Multiples times a day,5,No,Not Applicable,Security,Easy usage,Yes,"Simpler, faster, and more secure banking for everyone."
2026/07/04 11:00:16 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Daily,3,No,Slow transaction/service,Security,Cashback,Yes,fast and user friendly
2026/07/04 11:05:15 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,5,No,Technical/app issues,Fast Transaction,Easy usage,Yes,More easy way to do payment
2026/07/04 11:08:31 PM GMT+5:30,26-35,Student,Male,BHIM,Weekly,4,No,Technical/app issues,Security,Security,Maybe,More security
